Rank,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1288,NCAA Football 10019,NES,1987,Sports,Sony Computer Entertainment,2.09,0.37,0.05,0.18,2.69
1289,Castlevania 6747,GBA,1980,Racing,Deep Silver,1.06,0.78,0.51,0.34,2.69
1290,Dragon Quest 5718,PS3,1983,Strategy,Nintendo,1.42,0.82,0.45,0.0,2.69
1291,Metroid 5344,SNES,2005,Role-Playing,THQ,0.13,0.97,1.31,0.27,2.68
1292,NBA 3481,X360,1994,Sports,Sega,1.41,1.08,0.08,0.11,2.68
1293,Dead or Alive 3733,Wii,2005,Platform,Konami,0.4,1.1,0.93,0.25,2.68
1294,Dead or Alive 11129,SNES,2013,Strategy,Atari,1.39,0.48,0.65,0.16,2.68
1295,Tomb Raider 11147,PS2,1999,Adventure,Atari,1.39,0.83,0.44,0.02,2.68
1296,Tekken 9347,3DS,1997,Shooter,Ubisoft,0.2,0.74,1.41,0.33,2.68
1297,Tomb Raider 8701,SAT,1980,Fighting,Square Enix,0.25,1.94,0.24,0.25,2.68
1298,Crash Bandicoot 10385,NES,2007,Sports,505 Games,0.49,0.5,1.49,0.2,2.68
1299,Tomb Raider 10339,DS,2013,Adventure,Microsoft Game Studios,0.79,1.35,0.5,0.04,2.68
1300,Final Fantasy 11920,SAT,1991,Fighting,Activision,2.06,0.2,0.41,0.01,2.68
1301,Metroid 12205,N64,1994,Simulation,Electronic Arts,1.36,1.19,0.04,0.09,2.68
1302,Tekken 11496,XOne,1985,Misc,Bethesda,1.0,1.15,0.26,0.27,2.68
1303,Kirby 14709,PS3,2009,Platform,Bandai,0.69,1.36,0.41,0.22,2.68
1304,NBA 3315,N64,2003,Simulation,Microsoft Game Studios,1.83,0.35,0.47,0.03,2.68
1305,Silent Hill 913,3DS,2004,Racing,Sony Computer Entertainment,1.64,0.65,0.15,0.24,2.68
1306,Madden NFL 15760,PS4,2005,Shooter,Bandai,2.24,0.15,0.28,0.01,2.68
1307,Silent Hill 9728,PC,1985,Platform,Bandai,1.6,0.29,0.54,0.25,2.68
1308,NCAA Football 7948,WiiU,1997,Strategy,Electronic Arts,1.61,0.32,0.43,0.32,2.68
1309,Metal Gear Solid 14636,SNES,1997,Racing,2K Games,0.44,1.75,0.2,0.29,2.68
1310,Crash Bandicoot 8907,DC,1989,Misc,Konami,0.01,1.99,0.57,0.11,2.68
1311,Tekken 455,DC,2012,Simulation,Ubisoft,0.02,2.47,0.09,0.1,2.68
1312,Star Fox 5825,GBA,1998,Puzzle,Konami,1.51,0.37,0.73,0.07,2.68
1313,Sonic the Hedgehog 1900,PS2,1980,Strategy,Take-Two Interactive,0.87,1.65,0.06,0.09,2.67
1314,Kirby 268,DS,1994,Fighting,Activision,0.19,2.13,0.19,0.16,2.67
1315,Castlevania 7683,PS,1999,Misc,505 Games,0.44,1.42,0.12,0.69,2.67
1316,NCAA Football 2453,NES,2006,Role-Playing,Nintendo,0.93,0.94,0.58,0.22,2.67
1317,Spyro 2626,PS3,2007,Platform,Capcom,1.1,0.73,0.66,0.18,2.67
1318,NCAA Football 10095,PC,2006,Shooter,Konami,1.99,0.24,0.19,0.25,2.67
1319,Tekken 2927,N64,1997,Sports,Sony Computer Entertainment,0.1,2.4,0.06,0.11,2.67
1320,Mega Man 12267,NES,1989,Action,Namco Bandai,1.19,0.84,0.18,0.46,2.67
1321,Mega Man 12067,SAT,2013,Shooter,Sega,0.44,0.74,1.34,0.15,2.67
1322,Mega Man 15184,NES,2003,Misc,Electronic Arts,1.03,0.97,0.14,0.53,2.67
1323,NBA 7269,NES,2003,Strategy,Namco Bandai,0.05,2.13,0.18,0.31,2.67
1324,Final Fantasy 8049,PS3,2008,Adventure,Sony Computer Entertainment,0.73,1.02,0.63,0.29,2.67
1325,Tekken 12909,SAT,2007,Puzzle,Bethesda,1.33,0.08,1.2,0.06,2.67
1326,Metroid 14536,GBA,2014,Simulation,Sega,1.17,0.96,0.24,0.3,2.67
1327,Street Fighter 279,SAT,2005,Racing,Namco Bandai,1.96,0.59,0.0,0.12,2.67
1328,NBA 11482,X360,1988,Sports,Namco Bandai,0.96,1.45,0.24,0.01,2.66
1329,F-Zero 6464,SAT,2006,Adventure,Bandai,1.06,0.59,0.68,0.33,2.66
1330,Silent Hill 9727,SAT,2002,Fighting,Square Enix,0.12,0.79,1.53,0.22,2.66
1331,Sonic the Hedgehog 5261,X360,1992,Simulation,Deep Silver,1.41,0.18,0.92,0.15,2.66
1332,Tomb Raider 4023,XOne,1995,Platform,Ubisoft,1.74,0.64,0.14,0.14,2.66
1333,Metal Gear Solid 6144,GBA,1985,Adventure,Bethesda,0.54,0.14,1.96,0.02,2.66
1334,Metroid 15008,DC,2007,Simulation,Atari,1.02,0.43,1.19,0.02,2.66
1335,Madden NFL 14513,PS4,1987,Shooter,THQ,1.91,0.64,0.1,0.01,2.66
1336,Mortal Kombat 9407,3DS,2012,Simulation,Electronic Arts,1.49,0.46,0.22,0.48,2.65
1337,Spyro 15485,GC,1983,Strategy,Electronic Arts,0.21,1.94,0.36,0.14,2.65
1338,Kirby 8675,DS,1985,Adventure,Sony Computer Entertainment,0.43,1.51,0.52,0.19,2.65
1339,Tomb Raider 8186,GBA,1998,Platform,505 Games,1.32,0.1,0.73,0.5,2.65
1340,NBA 4632,DS,1996,Shooter,LucasArts,1.8,0.18,0.67,0.0,2.65
1341,Crash Bandicoot 8174,PC,1985,Role-Playing,Namco Bandai,0.13,2.17,0.08,0.27,2.65
1342,NBA 6043,PS3,2003,Adventure,LucasArts,0.41,2.19,0.03,0.02,2.65
1343,Final Fantasy 15342,GC,1988,Adventure,Square Enix,0.32,1.75,0.09,0.49,2.65
1344,Kirby 13226,PS,2007,Puzzle,Deep Silver,1.04,0.44,0.25,0.92,2.65
1345,Dragon Quest 11393,XOne,2002,Action,LucasArts,0.42,0.42,0.75,1.06,2.65
1346,NCAA Football 12537,NES,2014,Misc,Namco Bandai,1.75,0.45,0.28,0.17,2.65
1347,Crash Bandicoot 628,XOne,1998,Puzzle,Take-Two Interactive,1.19,0.92,0.46,0.08,2.65
1348,Tiger Woods PGA Tour 2471,DS,1991,Platform,Atari,1.08,0.2,1.19,0.18,2.65
1349,Tomb Raider 3275,PSP,2011,Simulation,2K Games,2.22,0.02,0.37,0.04,2.65
1350,NCAA Football 13732,PSP,1992,Sports,Namco Bandai,1.64,0.0,0.55,0.46,2.65
1351,NBA 11929,N64,2002,Sports,Take-Two Interactive,0.99,1.21,0.38,0.07,2.65
1352,Spyro 3290,DS,2011,Fighting,Ubisoft,1.69,0.5,0.45,0.01,2.65
1353,F-Zero 9184,DS,1980,Platform,LucasArts,1.82,0.33,0.42,0.07,2.64
1354,Spyro 13189,GC,1989,Misc,THQ,1.05,1.07,0.52,0.0,2.64
1355,Star Fox 14291,N64,2001,Sports,Deep Silver,1.29,0.9,0.23,0.22,2.64
1356,NBA 7495,GBA,2010,Strategy,Nintendo,0.66,1.44,0.52,0.02,2.64
1357,Crash Bandicoot 8931,PSP,2003,Simulation,Activision,0.55,1.27,0.67,0.15,2.64
1358,Castlevania 5745,Wii,2013,Sports,505 Games,0.62,1.22,0.63,0.17,2.64
1359,NBA 2602,PS,2014,Adventure,Sega,0.64,0.9,0.8,0.3,2.64
1360,Spyro 8903,3DS,1980,Shooter,Konami,1.7,0.82,0.01,0.11,2.64
1361,Madden NFL 90,DC,1992,Platform,Square Enix,1.2,0.68,0.54,0.22,2.64
1362,Street Fighter 5180,DC,1992,Shooter,LucasArts,2.09,0.39,0.08,0.08,2.64
1363,Kirby 13510,GBA,1995,Racing,Microsoft Game Studios,0.83,0.64,1.08,0.09,2.64
1364,Mortal Kombat 2821,Wii,2012,Fighting,Ubisoft,0.11,1.65,0.05,0.83,2.64
1365,Donkey Kong 3240,X360,1992,Puzzle,Bandai,1.52,0.62,0.27,0.23,2.64
1366,Dragon Quest 4158,XOne,2003,Sports,Bethesda,0.34,1.89,0.02,0.39,2.64
1367,Metroid 11568,PSP,1982,Simulation,Nintendo,0.02,2.22,0.34,0.06,2.64
1368,Tiger Woods PGA Tour 13809,PS,2009,Misc,Take-Two Interactive,0.33,2.07,0.22,0.02,2.64
1369,Spyro 2172,XOne,2012,Sports,Microsoft Game Studios,1.31,0.01,1.13,0.19,2.64
1370,NCAA Football 6952,PS3,1999,Fighting,Ubisoft,1.08,0.37,1.02,0.17,2.64
1371,Tekken 5466,SNES,2010,Platform,Sega,0.3,1.43,0.89,0.02,2.64
1372,Metroid 5470,XB,2006,Racing,2K Games,2.06,0.17,0.38,0.03,2.64
1373,Crash Bandicoot 9701,WiiU,2006,Misc,Bethesda,0.65,1.3,0.54,0.15,2.64
1374,Sonic the Hedgehog 5240,N64,1987,Simulation,Bethesda,1.57,0.39,0.51,0.17,2.64
1375,F-Zero 2196,DC,2007,Puzzle,Capcom,0.99,1.4,0.01,0.24,2.64
1376,Madden NFL 12906,XOne,1990,Misc,Activision,1.03,0.88,0.59,0.14,2.64
1377,Dragon Quest 9845,SAT,1984,Fighting,Atari,0.34,0.86,1.04,0.4,2.64
1378,Mortal Kombat 9376,NES,2000,Adventure,505 Games,1.51,0.62,0.27,0.24,2.64
1379,Dead or Alive 15732,PC,1997,Adventure,Activision,0.9,1.35,0.31,0.07,2.63
1380,Tomb Raider 9722,WiiU,1985,Sports,LucasArts,1.16,0.96,0.19,0.32,2.63
1381,Donkey Kong 80,N64,1996,Platform,Konami,1.17,0.75,0.61,0.1,2.63
1382,Crash Bandicoot 15723,GC,1992,Adventure,Capcom,1.78,0.43,0.07,0.35,2.63
1383,Tiger Woods PGA Tour 3642,XB,2008,Action,Sega,0.74,1.65,0.14,0.1,2.63
1384,Metroid 1859,DS,1998,Role-Playing,LucasArts,1.55,0.36,0.14,0.58,2.63
1385,Tiger Woods PGA Tour 12397,SNES,1994,Role-Playing,Bethesda,1.16,0.73,0.2,0.54,2.63
1386,Mega Man 13113,GC,2009,Misc,Electronic Arts,0.3,0.92,0.58,0.83,2.63
1387,Final Fantasy 5045,PC,2007,Fighting,2K Games,0.66,1.46,0.2,0.31,2.63
1388,Tomb Raider 14924,DS,2009,Puzzle,THQ,1.22,0.61,0.17,0.63,2.63
1389,NCAA Football 9746,GBA,1987,Misc,Capcom,1.18,0.71,0.66,0.08,2.63
1390,Star Fox 6926,WiiU,2011,Strategy,Namco Bandai,1.09,0.77,0.71,0.06,2.63
1391,NBA 1981,Wii,1998,Puzzle,Activision,1.86,0.47,0.22,0.08,2.63
1392,NCAA Football 10290,PS2,2015,Fighting,Nintendo,2.15,0.22,0.11,0.15,2.63
1393,Tomb Raider 12888,XB,2013,Sports,Square Enix,0.98,0.5,0.8,0.35,2.63
1394,Metroid 3769,SAT,2006,Action,Microsoft Game Studios,0.49,1.79,0.18,0.17,2.63
1395,Spyro 3679,N64,1990,Action,Sega,1.76,0.15,0.54,0.18,2.63
1396,Metroid 1765,XB,2001,Sports,THQ,0.65,0.31,1.29,0.38,2.63
1397,NBA 12626,NES,2001,Fighting,Atari,2.12,0.13,0.34,0.04,2.63
1398,Pro Evolution Soccer 8463,DS,2007,Role-Playing,Atari,1.8,0.22,0.61,0.0,2.63
1399,Crash Bandicoot 11731,DS,2004,Sports,Sony Computer Entertainment,0.93,1.13,0.34,0.23,2.63
1400,Street Fighter 1696,Wii,2007,Simulation,Atari,0.23,2.07,0.15,0.18,2.63
1401,Mega Man 14999,DS,1984,Simulation,Ubisoft,1.95,0.2,0.21,0.27,2.63
1402,Tekken 15364,PS2,2005,Sports,Konami,0.31,1.46,0.66,0.19,2.62
1403,Dragon Quest 7968,PS4,1996,Puzzle,Activision,1.42,0.66,0.47,0.07,2.62
1404,Metal Gear Solid 8585,PSP,1995,Fighting,505 Games,0.08,1.83,0.7,0.01,2.62
1405,Spyro 1734,GBA,1982,Fighting,505 Games,1.56,1.0,0.01,0.05,2.62
1406,Madden NFL 10753,3DS,2007,Fighting,Deep Silver,2.06,0.09,0.26,0.21,2.62
1407,Tiger Woods PGA Tour 3071,SNES,1981,Sports,Microsoft Game Studios,0.99,1.44,0.07,0.12,2.62
1408,Street Fighter 7835,PS4,1999,Racing,Electronic Arts,1.11,0.33,1.17,0.01,2.62
1409,Pro Evolution Soccer 3870,N64,1982,Shooter,Ubisoft,1.3,0.98,0.02,0.32,2.62
1410,Mega Man 14782,PS,1984,Strategy,Microsoft Game Studios,2.29,0.33,0.0,0.0,2.62
1411,Kirby 11241,SAT,2014,Role-Playing,Ubisoft,1.47,1.12,0.02,0.01,2.62
1412,Pro Evolution Soccer 10088,GBA,1990,Role-Playing,Activision,1.44,0.22,0.39,0.57,2.62
1413,Madden NFL 8993,PC,2008,Fighting,Activision,1.33,0.82,0.29,0.18,2.62
1414,Star Fox 11453,Wii,2003,Puzzle,Square Enix,1.98,0.03,0.58,0.03,2.62
1415,Silent Hill 3540,PS2,1980,Role-Playing,Bandai,1.75,0.42,0.4,0.05,2.62
1416,Mortal Kombat 15757,DS,2011,Shooter,Square Enix,1.34,0.2,0.89,0.19,2.62
1417,Tiger Woods PGA Tour 11498,N64,2015,Puzzle,LucasArts,1.43,0.88,0.09,0.22,2.62
1418,Crash Bandicoot 12086,GBA,2016,Puzzle,Take-Two Interactive,0.23,1.32,0.82,0.25,2.62
1419,Street Fighter 15079,Wii,1981,Strategy,Bethesda,0.46,1.35,0.19,0.62,2.62
1420,Mega Man 9149,DC,2000,Adventure,Sega,0.02,2.55,0.0,0.05,2.62
1421,Metroid 3862,PS3,1989,Role-Playing,Namco Bandai,1.06,0.78,0.46,0.31,2.61
1422,NCAA Football 7666,Wii,1987,Racing,2K Games,1.11,0.81,0.62,0.07,2.61
1423,Dead or Alive 11516,PC,1990,Strategy,Square Enix,0.86,1.61,0.06,0.08,2.61
1424,Dead or Alive 7565,WiiU,1983,Sports,Electronic Arts,1.54,0.69,0.15,0.23,2.61
1425,Tekken 12371,X360,2010,Role-Playing,LucasArts,0.21,0.14,2.01,0.25,2.61
1426,Sonic the Hedgehog 11577,DC,2012,Racing,Sega,1.75,0.16,0.64,0.06,2.61
1427,Mortal Kombat 4815,PC,2006,Strategy,Atari,1.67,0.29,0.25,0.4,2.61
1428,Pro Evolution Soccer 5664,SNES,2007,Misc,LucasArts,1.76,0.17,0.65,0.03,2.61
1429,Silent Hill 5537,PS3,1997,Shooter,Square Enix,1.0,0.83,0.48,0.3,2.61
1430,Pro Evolution Soccer 5223,PS2,2015,Action,Capcom,1.27,0.89,0.28,0.17,2.61
1431,Mortal Kombat 5254,SNES,2013,Role-Playing,Capcom,2.21,0.14,0.13,0.13,2.61
1432,Street Fighter 14818,X360,1997,Platform,Microsoft Game Studios,0.25,2.07,0.08,0.21,2.61
1433,Donkey Kong 2396,PS2,1995,Action,Microsoft Game Studios,1.14,0.77,0.68,0.02,2.61
1434,Mortal Kombat 2458,3DS,2014,Shooter,LucasArts,1.98,0.14,0.17,0.32,2.61
1435,F-Zero 5206,PC,2002,Shooter,Deep Silver,0.2,0.53,1.4,0.48,2.61
1436,Pro Evolution Soccer 13852,PS,1987,Racing,Ubisoft,0.96,1.07,0.3,0.28,2.61
1437,Dead or Alive 14063,N64,2002,Racing,2K Games,0.45,1.14,0.82,0.2,2.61
1438,Mega Man 12111,DS,2000,Sports,Capcom,1.98,0.36,0.1,0.17,2.61
1439,Pro Evolution Soccer 12112,SAT,2015,Strategy,Konami,0.76,0.75,0.89,0.21,2.61
1440,Madden NFL 13797,DC,2000,Fighting,Electronic Arts,1.63,0.63,0.06,0.29,2.61
1441,Sonic the Hedgehog 13372,3DS,1983,Simulation,Sega,1.89,0.41,0.12,0.19,2.61
1442,Mega Man 1790,N64,2000,Role-Playing,THQ,0.79,0.87,0.53,0.42,2.61
1443,Pro Evolution Soccer 13033,SNES,1999,Fighting,Ubisoft,2.02,0.07,0.5,0.01,2.6
1444,Spyro 10516,GC,2010,Adventure,Microsoft Game Studios,0.39,1.69,0.5,0.02,2.6
1445,Castlevania 14431,SAT,1997,Role-Playing,Sega,1.82,0.34,0.21,0.23,2.6
1446,Pro Evolution Soccer 12774,SAT,1988,Role-Playing,Activision,1.6,0.18,0.7,0.12,2.6
1447,Silent Hill 12972,DC,2013,Puzzle,Konami,0.21,2.0,0.38,0.01,2.6
1448,Tiger Woods PGA Tour 562,GC,1985,Action,Ubisoft,1.6,0.12,0.75,0.13,2.6
1449,Star Fox 8209,PS3,2010,Action,Ubisoft,1.43,0.45,0.7,0.02,2.6
1450,Kirby 2030,PS3,1989,Platform,Nintendo,1.09,0.33,0.83,0.35,2.6
1451,Final Fantasy 6292,XB,1998,Puzzle,THQ,1.42,0.49,0.24,0.45,2.6
1452,Metal Gear Solid 15319,XB,1991,Action,Microsoft Game Studios,1.64,0.41,0.02,0.53,2.6
1453,Dead or Alive 14162,SNES,2008,Shooter,Electronic Arts,1.33,1.09,0.14,0.04,2.6
1454,F-Zero 15287,PS4,1996,Simulation,Sony Computer Entertainment,0.32,1.18,0.53,0.57,2.6
1455,Spyro 880,GBA,2008,Sports,Square Enix,0.15,2.28,0.05,0.12,2.6
1456,Metal Gear Solid 15570,SNES,1999,Fighting,2K Games,1.39,0.68,0.35,0.18,2.6
1457,Dragon Quest 67,SNES,1983,Puzzle,Atari,0.83,1.22,0.01,0.54,2.6
1458,Castlevania 9240,NES,1987,Platform,Square Enix,1.31,0.76,0.24,0.29,2.6
1459,Sonic the Hedgehog 2203,PS,1986,Simulation,Microsoft Game Studios,0.33,1.42,0.85,0.0,2.6
1460,Mortal Kombat 12069,PSP,2007,Shooter,Bethesda,1.48,0.91,0.05,0.16,2.6
1461,Spyro 8422,GBA,2009,Strategy,Konami,0.88,1.4,0.24,0.08,2.6
1462,Donkey Kong 13243,GC,2014,Misc,Bethesda,1.26,0.49,0.6,0.25,2.6
1463,Final Fantasy 10849,3DS,2002,Fighting,Sega,1.89,0.39,0.02,0.3,2.6
1464,Star Fox 15561,PS2,1989,Role-Playing,Ubisoft,1.15,0.65,0.39,0.4,2.59
1465,Metroid 6729,Wii,1997,Puzzle,505 Games,0.23,1.22,0.73,0.41,2.59
1466,Dragon Quest 1857,XB,2008,Racing,Bandai,0.2,1.64,0.67,0.08,2.59
1467,Crash Bandicoot 6827,SNES,1982,Role-Playing,Atari,0.34,0.43,0.97,0.85,2.59
1468,Metal Gear Solid 13441,Wii,1982,Sports,Konami,1.23,0.21,1.13,0.02,2.59
1469,Silent Hill 11278,PS2,1998,Fighting,Atari,0.67,1.6,0.24,0.08,2.59
1470,Donkey Kong 12472,GBA,2002,Platform,Sega,2.03,0.38,0.1,0.08,2.59
1471,Dead or Alive 2097,PSP,1990,Action,Take-Two Interactive,1.19,0.86,0.49,0.05,2.59
1472,Dead or Alive 10040,PS4,2009,Fighting,Sony Computer Entertainment,2.3,0.21,0.02,0.06,2.59
1473,NCAA Football 6248,SAT,1983,Sports,2K Games,1.38,0.3,0.42,0.49,2.59
1474,Star Fox 4272,3DS,2006,Puzzle,Take-Two Interactive,1.05,1.08,0.31,0.15,2.59
1475,Tekken 10585,NES,2012,Fighting,Konami,1.72,0.18,0.64,0.05,2.59
1476,Tekken 9252,N64,2014,Simulation,505 Games,0.38,0.92,1.13,0.15,2.58
1477,Mega Man 11546,PS2,2012,Misc,Microsoft Game Studios,1.77,0.6,0.03,0.18,2.58
1478,Metroid 12500,GC,1981,Racing,505 Games,1.69,0.76,0.0,0.13,2.58
1479,Mega Man 5023,GC,2015,Action,Konami,1.58,0.34,0.59,0.07,2.58
1480,Tekken 6690,PS2,2003,Racing,Electronic Arts,0.52,0.97,0.68,0.41,2.58
1481,Donkey Kong 14571,PC,1983,Action,Atari,0.12,1.94,0.06,0.46,2.58
1482,Star Fox 2272,PS2,1996,Shooter,Take-Two Interactive,0.46,0.84,1.2,0.08,2.58
1483,Mega Man 9150,SNES,1989,Racing,2K Games,1.09,0.98,0.31,0.2,2.58
1484,Star Fox 2637,PS4,2010,Adventure,Bandai,1.42,0.18,0.86,0.12,2.58
1485,Mega Man 6034,Wii,1995,Puzzle,LucasArts,1.22,0.74,0.51,0.11,2.58
1486,Kirby 4867,XB,1990,Adventure,505 Games,2.14,0.15,0.12,0.17,2.58
1487,Final Fantasy 13290,Wii,2002,Action,Sony Computer Entertainment,1.3,0.71,0.29,0.28,2.58
1488,Star Fox 11702,PS,1980,Platform,LucasArts,1.39,1.18,0.0,0.01,2.58
1489,Castlevania 4409,XB,1989,Puzzle,Namco Bandai,1.43,0.8,0.32,0.03,2.58
1490,Dead or Alive 6481,PC,1983,Racing,2K Games,0.31,1.59,0.24,0.44,2.58
1491,Silent Hill 14020,3DS,1985,Sports,Bethesda,0.32,1.76,0.48,0.02,2.58
1492,Star Fox 12589,N64,1992,Shooter,2K Games,1.77,0.56,0.13,0.12,2.58
1493,Mega Man 7253,X360,2002,Shooter,LucasArts,1.57,0.68,0.29,0.04,2.58
1494,Tekken 4151,XOne,1985,Shooter,505 Games,0.64,1.58,0.25,0.11,2.58
1495,Star Fox 1309,PSP,1998,Misc,Ubisoft,2.06,0.23,0.29,0.0,2.58
1496,Silent Hill 3688,X360,1994,Puzzle,Konami,0.31,1.61,0.61,0.05,2.58
1497,Mortal Kombat 1277,X360,2014,Role-Playing,Namco Bandai,2.11,0.09,0.35,0.03,2.58
1498,Metroid 5192,3DS,2001,Adventure,Activision,1.83,0.43,0.05,0.27,2.58
1499,Dragon Quest 15922,PC,1984,Simulation,LucasArts,1.48,0.71,0.34,0.05,2.58
1500,Tomb Raider 15709,PS2,2005,Adventure,Square Enix,2.26,0.03,0.1,0.18,2.57
1501,Final Fantasy 15534,GC,2016,Simulation,Konami,1.61,0.63,0.1,0.23,2.57
1502,Mortal Kombat 12908,GBA,1987,Sports,Take-Two Interactive,1.11,0.58,0.67,0.21,2.57
1503,F-Zero 5364,PS3,2012,Adventure,Namco Bandai,2.22,0.16,0.18,0.01,2.57
1504,Spyro 2032,PS3,2007,Puzzle,Square Enix,0.08,1.73,0.42,0.34,2.57
1505,Donkey Kong 3458,WiiU,2010,Role-Playing,Bethesda,0.13,1.82,0.46,0.16,2.57
1506,Donkey Kong 1784,PS2,2010,Action,Take-Two Interactive,1.9,0.56,0.05,0.06,2.57
1507,Castlevania 11093,PSP,1981,Racing,Electronic Arts,1.27,0.99,0.11,0.2,2.57
1508,Spyro 310,WiiU,2006,Misc,LucasArts,0.4,1.13,0.99,0.05,2.57
1509,NCAA Football 11033,PS2,2007,Fighting,Deep Silver,0.68,1.26,0.58,0.05,2.57
1510,Crash Bandicoot 14766,PS4,2000,Simulation,Sega,2.18,0.17,0.03,0.19,2.57
1511,Castlevania 6854,N64,2015,Role-Playing,Microsoft Game Studios,0.74,0.97,0.08,0.78,2.57
1512,Street Fighter 8944,X360,2009,Fighting,505 Games,0.92,0.07,1.57,0.01,2.57
1513,NBA 12163,PS,1980,Misc,Sony Computer Entertainment,1.66,0.32,0.49,0.1,2.57
1514,Final Fantasy 2954,PS,2011,Fighting,505 Games,0.12,1.91,0.37,0.17,2.57
1515,NCAA Football 13393,PS2,1994,Platform,Microsoft Game Studios,0.93,1.48,0.14,0.02,2.57
1516,Final Fantasy 8726,SAT,2011,Role-Playing,Sega,0.99,0.01,1.4,0.17,2.57
1517,Madden NFL 15055,XB,1991,Simulation,Capcom,0.11,1.52,0.87,0.07,2.57
1518,Metroid 4027,X360,1989,Puzzle,LucasArts,0.18,0.99,1.39,0.01,2.57
1519,Mortal Kombat 7223,GC,1991,Strategy,Ubisoft,1.05,0.94,0.09,0.49,2.57
1520,Metroid 10108,PS4,2016,Strategy,Microsoft Game Studios,1.74,0.6,0.19,0.04,2.57
1521,Final Fantasy 7029,Wii,1991,Fighting,Take-Two Interactive,0.76,1.71,0.03,0.07,2.57
1522,Silent Hill 12731,N64,1983,Sports,2K Games,2.15,0.35,0.03,0.03,2.56
1523,Star Fox 15509,N64,2010,Strategy,Atari,2.1,0.18,0.04,0.24,2.56
1524,Sonic the Hedgehog 5483,PS4,1982,Sports,Electronic Arts,1.62,0.49,0.38,0.07,2.56
1525,Tomb Raider 13111,PS3,2004,Puzzle,Electronic Arts,0.74,1.58,0.22,0.02,2.56
1526,Star Fox 4847,PS3,2011,Misc,Microsoft Game Studios,0.07,1.1,1.01,0.38,2.56
1527,Star Fox 1687,PSP,2003,Strategy,Square Enix,1.36,0.62,0.57,0.01,2.56
1528,Mortal Kombat 334,SAT,1984,Simulation,2K Games,0.07,2.01,0.29,0.19,2.56
1529,Street Fighter 6885,DS,1991,Platform,Bethesda,0.39,1.71,0.14,0.32,2.56
1530,F-Zero 14640,GC,2011,Platform,Sony Computer Entertainment,1.46,0.87,0.09,0.14,2.56
1531,Donkey Kong 6803,XB,2007,Sports,Bethesda,1.44,0.8,0.03,0.29,2.56
1532,F-Zero 5774,PS,1991,Platform,Electronic Arts,0.39,1.39,0.36,0.42,2.56
1533,Metroid 14164,3DS,1995,Strategy,Microsoft Game Studios,0.69,0.49,1.32,0.06,2.56
1534,Crash Bandicoot 602,DC,2013,Fighting,Electronic Arts,0.76,1.28,0.46,0.06,2.56
1535,NBA 3718,DS,2002,Puzzle,LucasArts,1.05,1.18,0.28,0.05,2.56
1536,Tiger Woods PGA Tour 13382,GBA,2009,Fighting,Konami,1.55,0.68,0.31,0.02,2.56
1537,Final Fantasy 11771,DC,2001,Racing,Microsoft Game Studios,0.72,0.89,0.74,0.21,2.56
1538,Crash Bandicoot 9392,PS,1987,Fighting,Nintendo,2.09,0.18,0.18,0.11,2.56
1539,Crash Bandicoot 13855,SAT,1988,Role-Playing,Sega,2.21,0.11,0.19,0.05,2.56
1540,Silent Hill 5052,DC,2004,Strategy,Nintendo,2.38,0.12,0.03,0.03,2.56
1541,Spyro 10815,WiiU,1994,Racing,Take-Two Interactive,1.07,0.75,0.63,0.11,2.56
1542,Pro Evolution Soccer 5599,SNES,1993,Adventure,Square Enix,0.39,0.61,1.21,0.34,2.55
1543,Street Fighter 14112,XB,1998,Adventure,Ubisoft,1.86,0.45,0.16,0.08,2.55
1544,Mortal Kombat 7181,NES,1997,Fighting,2K Games,1.46,0.44,0.52,0.13,2.55
1545,Donkey Kong 15315,PS2,1996,Adventure,Microsoft Game Studios,1.05,1.4,0.08,0.02,2.55
1546,Sonic the Hedgehog 400,PC,2001,Action,Konami,1.67,0.34,0.38,0.16,2.55
1547,Spyro 7819,PC,1990,Fighting,Konami,0.53,1.34,0.68,0.0,2.55
1548,F-Zero 12369,DC,2014,Role-Playing,Bandai,0.8,0.48,0.84,0.43,2.55
1549,Dead or Alive 14277,DC,1998,Platform,Square Enix,0.15,1.49,0.69,0.22,2.55
1550,Pro Evolution Soccer 12542,SAT,1989,Adventure,Nintendo,1.51,0.14,0.84,0.06,2.55
1551,Sonic the Hedgehog 166,NES,1985,Shooter,Square Enix,0.38,1.82,0.34,0.01,2.55
1552,Spyro 12094,PSP,2006,Misc,Capcom,0.9,1.02,0.48,0.15,2.55
1553,F-Zero 10300,NES,1994,Simulation,THQ,1.01,1.27,0.24,0.03,2.55
1554,Metroid 8352,XB,1995,Fighting,Nintendo,0.95,0.03,1.43,0.14,2.55
1555,Silent Hill 11356,XB,2005,Racing,Atari,0.41,1.04,1.08,0.02,2.55
1556,Star Fox 5154,Wii,1995,Adventure,LucasArts,1.41,0.11,0.82,0.21,2.55
1557,Castlevania 9661,WiiU,2001,Action,Bethesda,2.21,0.11,0.07,0.16,2.55
1558,Star Fox 9077,PC,1992,Action,Capcom,1.86,0.4,0.0,0.29,2.55
1559,Dragon Quest 13066,DS,1998,Role-Playing,Sony Computer Entertainment,2.17,0.16,0.08,0.14,2.55
